2022-06-25 12:41:17|285.727µs|400|POST|/api/user/register|::1|106 B|301 B|{"firstName":"John","lastName":"Doe","email":"j@c.com","password":"johnDoe"}|
2022-06-25 12:42:35|82.481798ms|200|POST|/api/user/register|::1|107 B|62 B|{"firstName":"John","lastName":"Doe","email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 12:42:43|656.949µs|409|POST|/api/user/register|::1|107 B|84 B|{"firstName":"John","lastName":"Doe","email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 12:43:03|23.04µs|404|POST|/api/user/login|::1|57 B|9 B|{"email":"j@c.com","password":"helloWorld"}|
2022-06-25 12:43:28|176.256µs|200|POST|/api/user/login|::1|56 B|0 B|{"email":"j@c.com","password":"helloWorld"}|
2022-06-25 12:44:22|145.515µs|200|POST|/api/user/login|::1|56 B|8 B|{"email":"j@c.com","password":"helloWorld"}|
2022-06-25 12:44:29|172.483µs|500|POST|/api/user/login|::1|27 B|93 B|{"email":"j@c.com"}|
2022-06-25 12:44:33|175.471µs|400|POST|/api/user/login|::1|26 B|295 B|{"email":"j@c.com"}|
2022-06-25 12:56:30|253.68µs|400|POST|/api/user/login|::1|46 B|295 B|{"email":"j@d.com","password":""}|
2022-06-25 12:56:43|744.439µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@d.com","password":"johndoe1"}|
2022-06-25 12:56:52|403.951µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@d.com","password":"JohnDoe1"}|
2022-06-25 12:57:04|497.145µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 12:58:21|967.113µs|409|POST|/api/user/register|::1|107 B|84 B|{"firstName":"John","lastName":"Doe","email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 12:58:31|471.782µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 12:59:15|730.577µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 12:59:17|484.464µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 13:03:20|696.347µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
2022-06-25 13:03:42|811.534µs|401|POST|/api/user/login|::1|54 B|94 B|{"email":"j@c.com","password":"JohnDoe1"}|
